models,100,80,60,40,20,bias,variance
NAML_1,0.0129,0.0134,0.0139,0.0149,0.0173,0.0016,2.4255999999999993e-06
NRMS_1,0.0129,0.0134,0.0139,0.0149,0.0173,0.0016,2.4255999999999993e-06
NRMS_2,0.0127,0.0132,0.0137,0.0146,0.0171,0.0016,2.410400000000001e-06
EBNR_1,0.0128,0.0133,0.0138,0.0147,0.0173,0.0016,2.525599999999999e-06
EBNR_2,0.0128,0.0133,0.0138,0.0148,0.0171,0.0015,2.3144000000000007e-06
big_bird,0.0152,0.0159,0.0163,0.0174,0.0196,0.0015,2.3575999999999992e-06
brio,0.0133,0.0138,0.0144,0.0153,0.018,0.0017,2.7543999999999994e-06
prophetnet,0.014,0.0145,0.0151,0.0159,0.0184,0.0015,2.389599999999999e-06
cls,0.0138,0.0144,0.015,0.0159,0.0186,0.0017,2.8223999999999986e-06
t5_base,0.0136,0.0142,0.0147,0.0157,0.0182,0.0016,2.605600000000001e-06
