models,100,80,60,40,20,bias,variance
NAML_1,0.212,0.2122,0.2124,0.2127,0.2128,0.0003,8.959999999999936e-08
NRMS_1,0.1766,0.1766,0.177,0.1775,0.1787,0.0008,6.135999999999952e-07
NRMS_2,0.049,0.0492,0.0488,0.0493,0.0484,0.0003,1.0239999999999978e-07
EBNR_1,0.1173,0.1172,0.1175,0.1172,0.1178,0.0002,5.20000000000002e-08
EBNR_2,0.0552,0.0553,0.055,0.0553,0.0548,0.0002,3.7600000000000046e-08
big_bird,0.6267,0.6285,0.6305,0.6313,0.6358,0.0031,9.430400000000048e-06
brio,0.1898,0.1909,0.1923,0.196,0.2039,0.0051,2.6093600000000024e-05
prophetnet,0.2035,0.2045,0.2064,0.2089,0.218,0.0052,2.7106400000000043e-05
cls,0.2582,0.2607,0.2628,0.2666,0.2737,0.0054,2.9204000000000068e-05
t5_base,0.1848,0.1852,0.1865,0.1893,0.1933,0.0032,9.989600000000003e-06
