models,100,80,60,40,20,bias,variance
NAML_1,0.3155,0.3152,0.31,0.338,0.3109,0.0103,0.00010569360000000018
NRMS_1,0.3645,0.3698,0.3646,0.3762,0.3714,0.0044,1.948000000000001e-05
NRMS_2,0.3268,0.3308,0.3286,0.301,0.3404,0.0131,0.00017232959999999994
EBNR_1,0.3173,0.3113,0.3145,0.3056,0.3334,0.0093,8.721359999999986e-05
EBNR_2,0.33,0.3313,0.3449,0.3411,0.3576,0.0101,0.00010117359999999979
big_bird,0.3509,0.3421,0.3424,0.3416,0.366,0.0094,8.75479999999999e-05
brio,0.4519,0.4484,0.4426,0.45,0.4395,0.0047,2.1845600000000088e-05
prophetnet,0.416,0.4151,0.4254,0.406,0.4726,0.0236,0.0005571056000000001
cls,0.4283,0.4307,0.4302,0.4361,0.4237,0.004,1.602399999999992e-05
t5_base,0.4115,0.4168,0.406,0.422,0.3703,0.0183,0.00033501359999999955
