models,100,80,60,40,20,bias,variance
NAML_1,0.0508,0.0516,0.0522,0.0513,0.053,0.0008,5.77600000000001e-07
NRMS_1,0.0453,0.0459,0.0466,0.0463,0.0458,0.0004,1.976000000000006e-07
NRMS_2,0.0133,0.0134,0.0135,0.0138,0.0139,0.0002,5.359999999999992e-08
EBNR_1,0.0287,0.0291,0.0292,0.0291,0.0306,0.0007,4.2639999999999916e-07
EBNR_2,0.0127,0.0128,0.013,0.0131,0.0133,0.0002,4.559999999999995e-08
big_bird,0.1945,0.1975,0.198,0.1973,0.1941,0.0016,2.6816000000000126e-06
brio,0.1543,0.1566,0.1563,0.1565,0.154,0.0011,1.3063999999999986e-06
prophetnet,0.1351,0.1374,0.1378,0.1365,0.1343,0.0013,1.781600000000001e-06
cls,0.1795,0.1817,0.1823,0.1807,0.1773,0.0018,3.1519999999999785e-06
t5_base,0.1242,0.1263,0.1267,0.1254,0.1227,0.0015,2.130399999999999e-06
