models,100,80,60,40,20,bias,variance
NAML_1,0.1281,0.1296,0.1311,0.1332,0.1359,0.0027,7.509600000000014e-06
NRMS_1,0.126,0.1281,0.1291,0.1307,0.1358,0.0033,1.0906400000000018e-05
NRMS_2,0.1213,0.1234,0.1251,0.1274,0.1336,0.0042,1.7850399999999994e-05
EBNR_1,0.1267,0.1288,0.1301,0.1325,0.1381,0.0039,1.5302399999999998e-05
EBNR_2,0.1218,0.1236,0.1263,0.128,0.1339,0.0042,1.7461599999999962e-05
big_bird,0.151,0.1535,0.1531,0.1527,0.154,0.001,1.0504000000000031e-06
brio,0.1426,0.1468,0.1488,0.1516,0.1592,0.0055,3.0688000000000015e-05
prophetnet,0.1486,0.1524,0.1542,0.1562,0.161,0.0041,1.6889599999999985e-05
cls,0.1463,0.1501,0.1536,0.1558,0.1608,0.0049,2.4365599999999938e-05
t5_base,0.1464,0.1504,0.1522,0.1551,0.1603,0.0047,2.171759999999997e-05
