models,100,80,60,40,20,bias,variance
NAML_1,0.1253,0.1271,0.129,0.1309,0.135,0.0033,1.1170400000000031e-05
NRMS_1,0.12,0.1221,0.1236,0.1252,0.1287,0.0029,8.653600000000025e-06
NRMS_2,0.1102,0.1121,0.1135,0.1166,0.1209,0.0038,1.4098399999999963e-05
EBNR_1,0.117,0.1189,0.1205,0.1228,0.1271,0.0035,1.2154399999999966e-05
EBNR_2,0.1107,0.1129,0.1145,0.1169,0.1212,0.0036,1.2982399999999996e-05
big_bird,0.154,0.1558,0.1564,0.1564,0.1557,0.0009,7.744000000000077e-07
brio,0.1179,0.1221,0.1241,0.1264,0.13,0.0041,1.6508000000000012e-05
prophetnet,0.1277,0.1313,0.1339,0.1353,0.1372,0.0033,1.0937599999999965e-05
cls,0.1192,0.123,0.1246,0.1258,0.1295,0.0034,1.1401600000000006e-05
t5_base,0.1224,0.1267,0.1293,0.1306,0.1324,0.0035,1.2093599999999985e-05
