models,100,80,60,40,20,bias,variance
NAML_1,0.2917,0.2917,0.2919,0.2926,0.2945,0.0011,1.1295999999999809e-06
NRMS_1,0.2517,0.2514,0.2518,0.2515,0.2523,0.0003,9.840000000000453e-08
NRMS_2,0.0958,0.0958,0.096,0.0962,0.0955,0.0002,5.4399999999999236e-08
EBNR_1,0.1753,0.1754,0.1763,0.1761,0.176,0.0004,1.5759999999999993e-07
EBNR_2,0.1254,0.1253,0.1251,0.1245,0.1235,0.0007,4.94400000000001e-07
big_bird,0.6884,0.6901,0.6913,0.6939,0.6982,0.0034,1.1677600000000005e-05
brio,0.3134,0.3155,0.3171,0.3225,0.3336,0.0072,5.2509600000000016e-05
prophetnet,0.2624,0.2627,0.2652,0.2682,0.2784,0.0059,3.47135999999999e-05
cls,0.3493,0.3514,0.3535,0.3574,0.369,0.007,4.863760000000001e-05
t5_base,0.2534,0.2536,0.256,0.2584,0.2668,0.0049,2.4294399999999924e-05
